title,aud_total,holiday,drama,comedy,advanture,criminal.thrill,documentary,horror,family,etc,series,aud_18,director,distributor_value,expect,positive,comp_3,first_day_aud,screen
사도,4789782,1,0,0,0,0,0,0,0,0,0,0,7,3,22459,0.948372806,2,488073,2313
럭키,4818346,0,0,1,0,0,0,0,0,0,0,0,1,3,15767,0.9679797,4,675721,1845
공조,4860129,1,0,0,0,0,0,0,0,0,0,0,2,3,9879,0.976178146,2,308020,1818
국제시장,4869135,0,1,0,0,0,0,0,0,0,0,0,2,3,12784,0.988354714,2,416356,1885
곡성,4963008,0,0,0,0,1,0,0,0,0,0,0,2,2,15570,0.898005698,3,896217,2377
미션임파서블로그네이션,5058016,0,0,0,0,1,0,0,0,0,1,0,0,3,8626,0.9827069,2,971976,2373
터널,5377845,0,1,0,0,0,0,0,0,0,0,0,1,3,14152,0.969746614,4,760172,1674
인터스텔라,5440039,0,0,0,0,0,0,0,0,0,0,0,0,2,11513,0.977310669,2,572897,2228
인천상륙작전,5565410,0,1,0,0,0,0,0,0,0,0,0,1,3,35317,0.949883332,3,831671,1805
마스터,5759562,0,0,0,0,1,0,0,0,0,0,0,0,3,18671,0.965962848,3,763624,2889
스파이더맨홈커밍,6138676,0,0,0,1,0,0,0,0,0,1,0,0,0,15235,0.971428571,1,957304,3436
군함도,6260050,0,1,0,0,0,0,0,0,0,0,0,5,3,97770,0.815165877,1,1552150,3988
밀정,6263056,1,0,0,0,0,0,0,0,0,0,0,3,2,13996,0.965213513,5,566403,2467
베테랑,7230136,0,1,0,0,0,0,0,0,0,0,0,4,3,9952,0.991591656,1,844547,1899
암살,7377430,0,1,0,0,0,0,0,0,0,0,0,3,3,20846,0.989091999,1,926955,2594
캡틴아메리카시빌워,7567445,0,0,0,0,0,0,0,0,0,1,0,0,0,55504,0.970886857,1,1203236,3673
검사외전,8390871,1,0,1,0,1,0,0,0,0,0,0,0,3,46891,0.964858515,3,1006364,2686
어벤져스에이지오브울트론,8466698,0,0,0,1,0,0,0,0,0,1,0,0,0,96176,0.96057175,4,1275470,3498
택시운전사,9024080,0,1,0,0,0,0,0,0,0,0,0,3,3,45603,0.994736842,2,1436582,2999
부산행,9063544,0,0,0,0,1,0,0,0,0,0,0,0,2,62952,0.95505,2,2101324,3184
명량,11775978,0,0,0,0,0,0,0,0,0,0,0,2,3,13639,0.971098266,2,1410271,2361
